,symbol,token
0,BANKNIFTY11AUG2232000PE,42233
1,BANKNIFTY11AUG2232000CE,42232
2,BANKNIFTY11AUG2232100PE,42235
3,BANKNIFTY11AUG2232100CE,42234
4,BANKNIFTY11AUG2232200CE,42236
5,BANKNIFTY11AUG2232200PE,42238
6,BANKNIFTY11AUG2232300PE,42240
7,BANKNIFTY11AUG2232300CE,42239
8,BANKNIFTY11AUG2232400CE,42248
9,BANKNIFTY11AUG2232400PE,42249
10,BANKNIFTY11AUG2232500PE,42257
11,BANKNIFTY11AUG2232500CE,42256
12,BANKNIFTY11AUG2232600CE,42258
13,BANKNIFTY11AUG2232600PE,42260
14,BANKNIFTY11AUG2232700CE,42264
15,BANKNIFTY11AUG2232700PE,42267
16,BANKNIFTY11AUG2232800CE,42268
17,BANKNIFTY11AUG2232800PE,42269
18,BANKNIFTY11AUG2232900PE,42272
19,BANKNIFTY11AUG2232900CE,42270
20,BANKNIFTY11AUG2233000PE,42274
21,BANKNIFTY11AUG2233000CE,42273
22,BANKNIFTY11AUG2233100PE,42282
23,BANKNIFTY11AUG2233100CE,42281
24,BANKNIFTY11AUG2233200CE,42283
25,BANKNIFTY11AUG2233200PE,42284
26,BANKNIFTY11AUG2233300PE,42286
27,BANKNIFTY11AUG2233300CE,42285
28,BANKNIFTY11AUG2233400PE,42299
29,BANKNIFTY11AUG2233400CE,42287
30,BANKNIFTY11AUG2233500CE,42300
31,BANKNIFTY11AUG2233500PE,42305
32,BANKNIFTY11AUG2233600PE,42310
33,BANKNIFTY11AUG2233600CE,42306
34,BANKNIFTY11AUG2233700CE,42311
35,BANKNIFTY11AUG2233700PE,42312
36,BANKNIFTY11AUG2233800CE,42313
37,BANKNIFTY11AUG2233800PE,42316
38,BANKNIFTY11AUG2233900CE,42317
39,BANKNIFTY11AUG2233900PE,42318
40,BANKNIFTY11AUG2234000PE,42322
41,BANKNIFTY11AUG2234000CE,42320
42,BANKNIFTY11AUG2234100CE,42323
43,BANKNIFTY11AUG2234100PE,42330
44,BANKNIFTY11AUG2234200CE,42338
45,BANKNIFTY11AUG2234200PE,42339
46,BANKNIFTY11AUG2234300PE,42342
47,BANKNIFTY11AUG2234300CE,42341
48,BANKNIFTY11AUG2234400PE,42345
49,BANKNIFTY11AUG2234400CE,42344
50,BANKNIFTY11AUG2234500CE,42347
51,BANKNIFTY11AUG2234500PE,42348
52,BANKNIFTY11AUG2234600PE,42361
53,BANKNIFTY11AUG2234600CE,42349
54,BANKNIFTY11AUG2234700PE,42363
55,BANKNIFTY11AUG2234700CE,42362
56,BANKNIFTY11AUG2234800PE,42366
57,BANKNIFTY11AUG2234800CE,42365
58,BANKNIFTY11AUG2234900CE,42367
59,BANKNIFTY11AUG2234900PE,42369
60,BANKNIFTY11AUG2235000PE,42376
61,BANKNIFTY11AUG2235000CE,42370
62,BANKNIFTY11AUG2235100PE,42378
63,BANKNIFTY11AUG2235100CE,42377
64,BANKNIFTY11AUG2235200PE,42383
65,BANKNIFTY11AUG2235200CE,42379
66,BANKNIFTY11AUG2235300PE,42385
